Shot Type,ALLEN,MOBLEY,LEVERT,GARLAND,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,26,17,1,0,7,49,26,21,0,5,0,5
shoot2FGM,14,5,1,0,3,29,19,14,0,2,0,3
shoot2FTA,10,2,0,0,0,33,10,6,0,0,0,1
shoot2FTM,10,2,0,0,1,33,9,9,0,0,0,1
shoot2TO,1,1,0,0,0,4,5,2,0,0,0,0
shoot3FGA,14,6,1,1,4,26,10,0,38,8,0,0
shoot3FGM,5,3,1,1,3,11,2,0,12,2,0,0
shoot3FTA,0,0,0,0,0,3,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,2,1,0,0,0,0,0
shoot3TO,0,0,0,0,2,1,0,0,0,0,0,0
pass2FGA,5,12,0,0,1,7,1,2,0,0,0,0
pass2FGM,5,5,0,0,1,6,1,2,0,0,0,0
pass2FTA,0,2,0,0,0,0,4,0,0,0,0,0
pass2FTM,0,1,0,0,0,4,1,1,0,0,0,0
pass2TO,0,2,0,0,0,3,2,1,0,0,0,0
pass3FGA,13,2,0,1,1,12,4,1,0,0,0,0
pass3FGM,2,0,0,0,1,5,1,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,1,0,0,0,0,0,0,0,0,0,1,0
