Shot Type,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,23,15,6,3,3,96,7,8,0,1,0,2
shoot2FGM,15,13,5,2,2,51,5,5,0,1,0,2
shoot2FTA,5,10,0,0,2,77,8,2,0,0,0,0
shoot2FTM,5,9,0,1,2,60,7,2,0,0,0,0
shoot2TO,6,2,1,0,0,5,1,1,0,0,0,0
shoot3FGA,5,6,6,2,4,36,3,3,10,1,0,0
shoot3FGM,4,2,1,0,1,12,1,0,6,0,0,0
shoot3FTA,0,0,0,0,0,6,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,4,0,0,0,0,0,0
shoot3TO,0,0,1,0,0,1,0,0,0,0,0,0
pass2FGA,8,10,0,3,4,8,6,0,0,0,0,0
pass2FGM,7,10,0,2,3,6,3,0,0,0,0,0
pass2FTA,2,4,0,2,0,2,2,0,0,0,0,0
pass2FTM,1,4,0,2,0,1,2,0,0,0,0,0
pass2TO,2,2,0,0,0,4,2,1,0,0,0,0
pass3FGA,23,9,1,4,9,47,7,2,0,1,0,0
pass3FGM,8,0,0,1,4,22,2,1,0,1,0,0
pass3FTA,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,3,0,0,0,0,0,0
pass3TO,1,0,0,0,1,3,1,0,0,0,0,0
